generation,max_fitness,mean_fitness,min_fitness,std_fitness
0,34.7,24.895,14.7,3.5731909831027044
1,35.4,26.925,18.2,3.1894972013046314
2,36.7,28.752499999999998,20.5,2.960943262752476
3,38.2,30.287,22.5,2.7622401460227244
4,39.3,31.919999999999998,25.2,2.5694084332707967
5,39.8,33.3845,26.4,2.4165326940517815
6,40.4,34.667500000000004,28.6,2.220404075433126
7,42.1,35.948,29.8,2.1737338039694416
8,43.1,37.2455,31.5,2.1272460017374843
9,43.9,38.46,33.0,2.0961598305565348
10,44.8,39.6475,34.0,1.9515988756433464
11,45.2,40.802499999999995,35.7,1.8083897822493054
12,46.1,41.8285,37.0,1.6990429417506328
13,46.8,42.755,38.4,1.5726686476491754
14,47.4,43.685500000000005,39.8,1.436714701674247
15,47.7,44.459500000000006,40.6,1.359492010148516
16,48.6,45.195,41.9,1.2345105746838556
17,48.8,45.8405,42.5,1.199703311792248
18,49.2,46.5025,43.6,1.0787992037141594
19,49.6,47.0865,44.1,1.0009792665286934
20,49.9,47.6115,44.9,0.936493977324302
21,49.8,48.120999999999995,45.8,0.83148375286758
22,50.0,48.551,46.3,0.7387454066896293
23,50.0,48.925,47.1,0.6602535057624813
24,50.0,49.2525,47.8,0.5710991561329878
25,50.0,49.525,48.0,0.4744700260375055
26,50.0,49.753,48.6,0.3228740812667291
27,50.0,49.878,49.1,0.20171840399778299
28,50.0,49.9565,49.6,0.1051784984105194
29,50.0,49.9935,49.7,0.0433802357731352
30,50.0,50.0,50.0,0.0
31,50.0,50.0,50.0,0.0
32,50.0,50.0,50.0,0.0
33,50.0,50.0,50.0,0.0
34,50.0,50.0,50.0,0.0
35,50.0,50.0,50.0,0.0
36,50.0,50.0,50.0,0.0
37,50.0,50.0,50.0,0.0
38,50.0,50.0,50.0,0.0
39,50.0,50.0,50.0,0.0
40,50.0,50.0,50.0,0.0
41,50.0,50.0,50.0,0.0
42,50.0,50.0,50.0,0.0
43,50.0,50.0,50.0,0.0
44,50.0,50.0,50.0,0.0
45,50.0,50.0,50.0,0.0
46,50.0,50.0,50.0,0.0
47,50.0,50.0,50.0,0.0
48,50.0,50.0,50.0,0.0
49,50.0,50.0,50.0,0.0
50,50.0,50.0,50.0,0.0
51,50.0,50.0,50.0,0.0
52,50.0,50.0,50.0,0.0
53,50.0,50.0,50.0,0.0
54,50.0,50.0,50.0,0.0
55,50.0,50.0,50.0,0.0
56,50.0,50.0,50.0,0.0
57,50.0,50.0,50.0,0.0
58,50.0,50.0,50.0,0.0
59,50.0,50.0,50.0,0.0
60,50.0,50.0,50.0,0.0
61,50.0,50.0,50.0,0.0
62,50.0,50.0,50.0,0.0
63,50.0,50.0,50.0,0.0
64,50.0,50.0,50.0,0.0
65,50.0,50.0,50.0,0.0
66,50.0,50.0,50.0,0.0
67,50.0,50.0,50.0,0.0
68,50.0,50.0,50.0,0.0
69,50.0,50.0,50.0,0.0
70,50.0,50.0,50.0,0.0
71,50.0,50.0,50.0,0.0
72,50.0,50.0,50.0,0.0
73,50.0,50.0,50.0,0.0
74,50.0,50.0,50.0,0.0
75,50.0,50.0,50.0,0.0
76,50.0,50.0,50.0,0.0
77,50.0,50.0,50.0,0.0
78,50.0,50.0,50.0,0.0
79,50.0,50.0,50.0,0.0
80,50.0,50.0,50.0,0.0
81,50.0,50.0,50.0,0.0
82,50.0,50.0,50.0,0.0
83,50.0,50.0,50.0,0.0
84,50.0,50.0,50.0,0.0
85,50.0,50.0,50.0,0.0
86,50.0,50.0,50.0,0.0
87,50.0,50.0,50.0,0.0
88,50.0,50.0,50.0,0.0
89,50.0,50.0,50.0,0.0
90,50.0,50.0,50.0,0.0
91,50.0,50.0,50.0,0.0
92,50.0,50.0,50.0,0.0
93,50.0,50.0,50.0,0.0
94,50.0,50.0,50.0,0.0
95,50.0,50.0,50.0,0.0
96,50.0,50.0,50.0,0.0
97,50.0,50.0,50.0,0.0
98,50.0,50.0,50.0,0.0
99,50.0,50.0,50.0,0.0
100,50.0,50.0,50.0,0.0
