generation,max_fitness,mean_fitness,min_fitness,std_fitness
0,35.4,24.985,15.3,3.582042910271322
1,36.1,26.9315,18.6,3.0681988750487545
2,36.9,28.651999999999997,21.2,2.919155981337178
3,38.0,30.2,22.8,2.708852493696683
4,39.0,31.6875,24.3,2.6923616495058855
5,39.9,33.1775,27.2,2.4699512735317226
6,40.5,34.613,28.3,2.2891355612622353
7,41.5,35.9665,30.4,2.1590719513419785
8,42.4,37.2165,31.7,2.0624319684462735
9,43.4,38.418,32.4,1.9534387267030902
10,44.5,39.495,34.9,1.8329459296761001
11,45.2,40.4505,36.0,1.7579042314086433
12,46.2,41.496,37.1,1.6716389975141426
13,46.5,42.379000000000005,38.1,1.5875032191688117
14,47.0,43.2825,39.3,1.5291801556094289
15,47.5,44.175,40.6,1.3870348269938853
16,48.1,44.9915,41.1,1.3007357818488787
17,48.6,45.693,42.4,1.188707071911696
18,48.9,46.372,43.2,1.1134265603831677
19,49.2,46.992000000000004,44.5,0.9776801270960058
20,49.5,47.557,44.9,0.8958252994587301
21,49.7,48.0265,45.8,0.798267397212775
22,49.8,48.461,46.4,0.7091610123905849
23,49.8,48.8275,47.1,0.6205980954847903
24,49.9,49.1385,47.5,0.5317866958766418
25,49.9,49.3815,48.2,0.4553479909073678
26,50.0,49.5965,48.6,0.3156314915506179
27,50.0,49.7115,49.1,0.23444710169075295
28,50.0,49.814,49.1,0.1598482337127193
29,50.0,49.8755,49.5,0.10238056812492231
30,50.0,49.913,49.8,0.06269768735766894
31,50.0,49.947500000000005,49.8,0.05190134873006673
32,50.0,49.976,49.8,0.04498888751680797
33,50.0,49.995,49.9,0.02179449471770337
34,50.0,49.9995,49.9,0.007053367989832944
35,50.0,50.0,50.0,0.0
36,50.0,50.0,50.0,0.0
37,50.0,50.0,50.0,0.0
38,50.0,50.0,50.0,0.0
39,50.0,50.0,50.0,0.0
40,50.0,50.0,50.0,0.0
41,50.0,50.0,50.0,0.0
42,50.0,50.0,50.0,0.0
43,50.0,50.0,50.0,0.0
44,50.0,50.0,50.0,0.0
45,50.0,50.0,50.0,0.0
46,50.0,50.0,50.0,0.0
47,50.0,50.0,50.0,0.0
48,50.0,50.0,50.0,0.0
49,50.0,50.0,50.0,0.0
50,50.0,50.0,50.0,0.0
51,50.0,50.0,50.0,0.0
52,50.0,50.0,50.0,0.0
53,50.0,50.0,50.0,0.0
54,50.0,50.0,50.0,0.0
55,50.0,50.0,50.0,0.0
56,50.0,50.0,50.0,0.0
57,50.0,50.0,50.0,0.0
58,50.0,50.0,50.0,0.0
59,50.0,50.0,50.0,0.0
60,50.0,50.0,50.0,0.0
61,50.0,50.0,50.0,0.0
62,50.0,50.0,50.0,0.0
63,50.0,50.0,50.0,0.0
64,50.0,50.0,50.0,0.0
65,50.0,50.0,50.0,0.0
66,50.0,50.0,50.0,0.0
67,50.0,50.0,50.0,0.0
68,50.0,50.0,50.0,0.0
69,50.0,50.0,50.0,0.0
70,50.0,50.0,50.0,0.0
71,50.0,50.0,50.0,0.0
72,50.0,50.0,50.0,0.0
73,50.0,50.0,50.0,0.0
74,50.0,50.0,50.0,0.0
75,50.0,50.0,50.0,0.0
76,50.0,50.0,50.0,0.0
77,50.0,50.0,50.0,0.0
78,50.0,50.0,50.0,0.0
79,50.0,50.0,50.0,0.0
80,50.0,50.0,50.0,0.0
81,50.0,50.0,50.0,0.0
82,50.0,50.0,50.0,0.0
83,50.0,50.0,50.0,0.0
84,50.0,50.0,50.0,0.0
85,50.0,50.0,50.0,0.0
86,50.0,50.0,50.0,0.0
87,50.0,50.0,50.0,0.0
88,50.0,50.0,50.0,0.0
89,50.0,50.0,50.0,0.0
90,50.0,50.0,50.0,0.0
91,50.0,50.0,50.0,0.0
92,50.0,50.0,50.0,0.0
93,50.0,50.0,50.0,0.0
94,50.0,50.0,50.0,0.0
95,50.0,50.0,50.0,0.0
96,50.0,50.0,50.0,0.0
97,50.0,50.0,50.0,0.0
98,50.0,50.0,50.0,0.0
99,50.0,50.0,50.0,0.0
100,50.0,50.0,50.0,0.0
