,0.01,0.1,1.0
0,804,35789,10000000
1,908,506074,10000000
2,790,21242,10000000
3,794,416679,10000000
4,835,68179,10000000
5,792,26027,10000000
6,814,1627,10000000
7,904,439967,10000000
8,841,318044,10000000
9,756,359279,10000000
