generation,max_fitness,mean_fitness,min_fitness,std_fitness
0,35.2,25.0435,16.0,3.5036328131828585
1,34.5,24.9995,16.0,3.493118715515697
2,34.7,25.072499999999998,16.7,3.4657657793595433
3,33.6,25.037,16.5,3.3956109388765534
4,34.4,25.1165,16.0,3.4106608747957297
5,33.9,25.073500000000003,16.0,3.3575221508212465
6,33.8,25.091,15.6,3.418552149072262
7,34.0,25.1655,15.9,3.500273921322825
8,34.1,25.3285,16.6,3.4554454260841707
9,34.4,25.45,16.4,3.414556647766029
10,34.8,25.609500000000004,16.6,3.3395576604900787
11,34.6,25.606,16.3,3.2927828014755534
12,34.8,25.639,17.0,3.3040627105385667
13,34.7,25.7065,16.8,3.4035107914600458
14,34.6,25.624000000000002,16.2,3.3505623608265234
15,34.4,25.6355,17.3,3.2649972468354767
16,34.5,25.662,16.6,3.344345760307541
17,34.5,25.712,16.3,3.3698217446787644
18,34.9,25.738999999999997,16.3,3.4241235691026475
19,34.7,25.7505,16.7,3.40398722212768
20,34.6,25.720999999999997,16.9,3.4193942191092312
21,34.4,25.756999999999998,16.9,3.3691001274300953
22,34.5,25.670499999999997,17.2,3.3992358902424527
23,34.7,25.790499999999998,17.5,3.350847615222365
24,34.4,25.78,17.4,3.336197831772348
25,34.3,25.716,17.1,3.330457680967463
26,34.4,25.778000000000002,17.0,3.2677501753204212
27,33.9,25.734500000000004,16.7,3.230119884130288
28,34.6,25.771499999999996,17.0,3.2234728416156613
29,34.5,25.8105,17.4,3.181873892035932
30,34.4,25.839499999999997,16.9,3.091754522745225
31,34.8,25.811,17.5,3.151680320120831
32,33.8,25.823,17.8,3.069952442807414
33,34.7,25.6975,17.2,3.207486963203673
34,34.0,25.769,17.2,3.082406949671506
35,33.8,25.790499999999998,17.7,3.0506010015551177
36,33.3,25.771499999999996,17.8,3.063122872733181
37,34.4,25.826999999999998,18.0,3.0652160961053507
38,34.2,25.7925,17.9,3.069016358914443
39,33.7,25.7185,17.4,3.1102604544751533
40,34.3,25.806,17.8,2.9854942414692913
41,34.7,25.8385,17.8,2.9790671459548164
42,33.3,25.777499999999996,17.9,2.969129057896638
43,33.5,25.796,18.4,2.9337581982146155
44,33.5,25.7625,18.6,2.91698217140694
45,33.9,25.796499999999998,18.0,2.9620215926593163
46,33.4,25.6205,17.4,2.9617097237916505
47,33.7,25.645,17.3,3.0153595706866403
48,33.4,25.6435,17.8,2.941008932770748
49,33.4,25.661,18.3,2.9913819137149984
50,33.2,25.56,17.9,2.975029092434153
51,33.5,25.686,17.4,3.007039744379991
52,33.3,25.774,17.3,2.9912663273842774
53,33.7,25.9175,17.7,2.947075297622341
54,33.7,25.8105,17.4,3.002554985939713
55,33.8,25.792,17.3,3.0093860205573804
56,33.4,25.71,18.2,2.944948378196199
57,33.4,25.677,17.9,2.987060307546482
58,32.8,25.482499999999998,17.6,3.00855278917495
59,33.2,25.437,17.7,2.98674721990563
60,33.9,25.5085,17.9,3.007093478433279
61,33.5,25.636000000000003,18.0,2.952671419717152
62,33.6,25.665499999999998,17.2,2.9969123855213176
63,33.5,25.732999999999997,17.5,2.966182272431909
64,33.3,25.839,18.3,2.885859646322535
65,33.3,25.8765,18.0,2.8829357980660486
66,33.8,25.902499999999996,18.2,2.8639598448409957
67,33.8,25.9015,18.9,2.8547365731436978
68,33.7,25.939999999999998,18.1,2.834716580421728
69,33.7,26.055500000000002,18.2,2.8429164898642907
70,33.1,25.9635,18.3,2.787456130813207
71,32.7,25.839499999999997,18.5,2.774332473412208
72,32.6,25.8825,18.2,2.708635922838873
73,33.2,25.886000000000003,18.2,2.7681041532178177
74,33.6,25.746499999999997,19.0,2.863852511198968
75,33.6,25.7765,18.9,2.817481073535837
76,33.4,25.793,18.0,2.833986116811142
77,32.9,25.8125,18.5,2.779825698524731
78,33.2,25.8435,18.4,2.7656906360015836
79,33.2,25.942500000000003,18.1,2.7558311286109123
80,33.1,25.956,17.6,2.759880045748777
81,33.5,26.063499999999998,18.5,2.819569737595641
82,33.5,26.032,18.5,2.758304778057067
83,33.5,26.086000000000002,18.9,2.720856425147601
84,33.6,26.137999999999998,18.8,2.8200968364878034
85,33.5,26.101,18.9,2.785675628389279
86,33.2,26.182,19.0,2.724445453565151
87,33.3,26.171999999999997,18.8,2.722059434734631
88,33.2,26.128499999999995,18.6,2.707698916701238
89,33.9,26.2,18.2,2.7301703909544206
90,33.4,26.195,18.7,2.6749367803122315
91,33.3,26.107,18.4,2.747834986215156
92,33.4,26.1735,18.3,2.7667851029951374
93,33.3,26.154000000000003,19.2,2.7706830179685804
94,33.1,26.119,18.9,2.779672520285126
95,33.5,26.204,18.5,2.773173102809441
96,33.6,26.213,18.7,2.801684474259434
97,33.8,26.208999999999996,18.4,2.8756517329080955
98,33.7,26.145999999999997,17.9,2.8260357513823915
99,33.5,26.0765,18.6,2.785284864585834
100,33.1,26.034000000000002,19.4,2.7489811279518266
